,,,,,,,,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength)
GP,Date,,Opponent,GF,GA,,,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO
50,2023-02-06,,Vancouver Canucks,5,4,W,OT,,34,2,1,4,0,,30,8,0,1,0,,47,53,47.0,35,35,50.0,30,20,60.0,43.2,98.8
51,2023-02-09,,Seattle Kraken,3,1,W,,,27,6,2,4,0,,34,8,0,3,0,,44,56,44.0,33,34,49.3,29,18,61.7,45.5,100.5
52,2023-02-11,@,Minnesota Wild,2,3,L,SO,,29,13,0,2,0,,24,21,1,3,0,,45,58,43.7,33,37,47.1,26,27,49.1,46.3,103.8
53,2023-02-14,@,Columbus Blue Jackets,3,2,W,,,32,6,0,2,0,,33,4,1,3,0,,71,45,61.2,49,35,58.3,22,20,52.4,51.7,106.2
54,2023-02-16,@,St. Louis Blues,2,4,L,,,36,8,0,1,0,,35,4,1,3,0,,64,58,52.5,45,42,51.7,26,27,49.1,57.0,95.9
55,2023-02-18,@,Pittsburgh Penguins,5,2,W,,,43,10,1,3,1,,31,6,1,5,0,,54,55,49.5,45,36,55.6,19,24,44.2,63.5,104.3
56,2023-02-19,,Winnipeg Jets,4,2,W,,,29,6,0,2,0,,25,4,0,3,0,,47,48,49.5,36,32,52.9,27,19,58.7,48.6,105.2
57,2023-02-21,,Montreal Canadiens,2,5,L,,,40,4,1,3,0,,18,6,0,2,0,,69,30,69.7,42,23,64.6,28,16,63.6,67.9,69.9
58,2023-02-23,,Los Angeles Kings,4,3,W,OT,,32,2,0,4,0,,22,8,0,1,0,,55,38,59.1,41,30,57.7,27,18,60.0,64.9,99.8
59,2023-02-25,,Philadelphia Flyers,7,0,W,,,36,9,0,1,0,,23,7,0,2,0,,60,50,54.5,50,38,56.8,28,25,52.8,37.5,120.6
60,2023-03-01,@,Colorado Avalanche,7,5,W,,,29,2,1,2,0,,31,4,0,1,0,,51,56,47.7,36,39,48.0,30,32,48.4,30.2,106.4
